gpsfilename;frame;lat;lon;frame_del;min;max;thickness
_6_ 09.04.2016 7_03_43.gps;2006;52.027445;105.44907;2006;2.55;6.58;36
_6_ 09.04.2016 7_03_43.gps;2048;52.02749167;105.44917;2048;2.58;6.36;34
_6_ 09.04.2016 7_03_43.gps;2090;52.02753667;105.44927;2090;2.58;6.63;36
_6_ 09.04.2016 7_03_43.gps;2133;52.02758333;105.4493683;2133;2.55;6.5;35
_6_ 09.04.2016 7_03_43.gps;2218;52.02763;105.4494667;2218;2.55;6.58;36
_6_ 09.04.2016 7_03_43.gps;2260;52.02767667;105.4495633;2260;2.55;6.61;36
_6_ 09.04.2016 7_03_43.gps;2304;52.027725;105.449665;2304;2.55;6.69;37
_6_ 09.04.2016 7_03_43.gps;2345;52.02777333;105.4497667;2345;2.58;6.66;36
_6_ 09.04.2016 7_03_43.gps;2385;52.02782167;105.44987;2385;2.55;6.5;35
_6_ 09.04.2016 7_03_43.gps;2472;52.02787;105.4499683;2472;2.58;6.3;33
_6_ 09.04.2016 7_03_43.gps;2512;52.02791833;105.4500667;2512;2.58;6.44;34
_6_ 09.04.2016 7_03_43.gps;2556;52.02796833;105.4501683;2556;2.58;6.33;33
_6_ 09.04.2016 7_03_43.gps;2599;52.02801667;105.4502683;2599;2.55;6.52;35
_6_ 09.04.2016 7_03_43.gps;2643;52.02806667;105.4503717;2643;2.58;6.55;35
_6_ 09.04.2016 7_03_43.gps;2728;52.02811667;105.4504717;2728;2.55;6.47;35
_6_ 09.04.2016 7_03_43.gps;2770;52.02816833;105.4505733;2770;2.5;6.27;33
_6_ 09.04.2016 7_03_43.gps;2810;52.02821833;105.450675;2810;2.58;6.58;36
_6_ 09.04.2016 7_03_43.gps;2852;52.02826833;105.4507717;2852;2.58;6.36;34
_6_ 09.04.2016 7_03_43.gps;2897;52.02832;105.45087;2897;2.58;7.47;44
_6_ 09.04.2016 7_03_43.gps;2983;52.02837167;105.45097;2983;2.58;5.72;28
_6_ 09.04.2016 7_03_43.gps;3024;52.02842167;105.4510683;3024;2.61;7.05;39
_6_ 09.04.2016 7_03_43.gps;3065;52.02847333;105.4511683;3065;2.63;6.3;33
_6_ 09.04.2016 7_03_43.gps;3109;52.02852667;105.4512717;3109;2.61;6.36;33
_6_ 09.04.2016 7_03_43.gps;3152;52.02857833;105.4513733;3152;2.58;6.36;34
_6_ 09.04.2016 7_03_43.gps;3238;52.02863167;105.4514767;3238;2.58;6.16;32
